Surveyor,Survey_Date,Page #,Row,StreamName,SectionName,AnglerType,AnglerCategory,TargetSpecies,NumAnglers,Guided?,FishingMethod,Num_Cars,Num_Trailers,Fishing_Start_Time,Interview_Start_Time,Fishing_time_corrected,Fishing_End_Time_Corrected,Percent_time_fished,Species,Origin,Fate,Qty,CompleteTrip,County1,interviewed_today,Comments
"Bosley, April",2/1/2021,1,1,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,2,No,Gear,1,0,8:00 AM,9:50 AM,1:50,9:50 AM,1,,,,,No,"98117,1,98155,1",No,
"Bosley, April",2/1/2021,1,2,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,1,No,Gear,1,0,7:30 AM,10:03 AM,2:33,10:03 AM,1,,,,,No,98248,No,
"Bosley, April",2/1/2021,1,4,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,2,No,Gear,1,0,9:50 AM,1:11 PM,3:21,1:11 PM,1,,,,,No,"98117,1,98155,1",Yes,
"Bosley, April",2/1/2021,1,5,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,1,No,Gear,1,0,10:03 AM,1:11 PM,3:08,1:11 PM,1,,,,,No,98248,Yes,
"Bosley, April",2/1/2021,1,6,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,2,No,Fly,2,0,11:00 AM,2:30 PM,3:30,2:30 PM,1,,,,,No,"98270,1,98036,1",No,
"Miles, Shelby",2/1/2021,2,1,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,2,No,Gear,1,0,9:00 AM,10:21 AM,1:21,10:21 AM,1,,,,,No,98034,Yes,
"Miles, Shelby",2/1/2021,2,2,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,1,No,Gear,1,0,9:30 AM,10:32 AM,1:02,10:32 AM,1,,,,,No,98233,Yes,Zip code inaccurate?
"Miles, Shelby",2/1/2021,2,3,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,1,No,Gear,1,0,11:30 AM,2:00 PM,2:30,2:00 PM,1,,,,,No,98250,Yes,Zip code inaccurate?
"Miles, Shelby",2/1/2021,2,4,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,2,No,Gear,1,0,10:00 AM,3:50 PM,5:50,3:50 PM,1,,,,,No,98226,Yes,Zip code inaccurate?
"Morrison, Patrick",2/1/2021,3,1,Skagit,Dalles bridge to Marblemount bridge,Shore,Shore,Steelhead,1,No,Gear,1,0,11:15 AM,12:45 PM,1:30,12:45 PM,1,,,,,No,98284,No,
"Morrison, Patrick",2/1/2021,3,2,Skagit,Darrington Mill bridge to mouth,Drift boat / raft,Boat,Steelhead,3,No,Gear,2,1,7:30 AM,2:45 PM,6:09,1:39 PM,0.85,SH,W,R,2,Yes,"98229,3",No,
"Morrison, Patrick",2/1/2021,3,2,Skagit,Darrington Mill bridge to mouth,Drift boat / raft,Boat,Steelhead,3,No,Gear,2,1,7:30 AM,2:45 PM,6:09,1:39 PM,0.85,WF,,R,3,Yes,"98229,3",No,
"Morrison, Patrick",2/1/2021,3,2,Skagit,Dalles bridge to Marblemount bridge,Drift boat / raft,Boat,Steelhead,3,No,Gear,2,1,7:30 AM,2:45 PM,1:05,8:35 AM,0.15,WF,,R,2,Yes,"98229,3",No,
"Zech, Ky",2/1/2021,4,1,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,1,No,Fly,1,0,9:00 AM,12:40 PM,3:40,12:40 PM,1,,,,,No,98233,No,Moving to Skagit
"Zech, Ky",2/1/2021,4,2,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,2,No,Both,1,0,8:30 AM,11:30 AM,3:00,11:30 AM,1,,,,,No,"98274,2",No,
"Zech, Ky",2/1/2021,4,3,Skagit,Dalles bridge to Marblemount bridge,Shore,Shore,Steelhead,1,No,Fly,1,0,1:00 PM,2:20 PM,1:20,2:20 PM,1,,,,,No,98233,Yes,"Angler from line 1, moving to Jackman"
"Zech, Ky",2/1/2021,4,4,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,1,No,Fly,1,0,1:30 PM,2:50 PM,1:20,2:50 PM,1,,,,,No,98273,No,
"Zech, Ky",2/1/2021,4,5,Skagit,Dalles bridge to Marblemount bridge,Shore,Shore,Steelhead,3,No,Gear,1,0,3:30 PM,3:40 PM,0:10,3:40 PM,1,,,,,No,98273,No,North Fabers
"Bosley, April",2/2/2021,1,1,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,1,No,Gear,1,0,7:30 AM,8:40 AM,1:10,8:40 AM,1,,,,,No,98248,No,
"Bosley, April",2/2/2021,1,2,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,1,No,Fly,1,0,8:30 AM,10:35 AM,2:05,10:35 AM,1,,,,,No,98116,No,
"Bosley, April",2/2/2021,1,3,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,1,No,Fly,1,0,10:30 AM,1:35 PM,0:37,11:07 AM,0.2,,,,,No,98226,No,
"Bosley, April",2/2/2021,1,3,Skagit,Dalles bridge to Marblemount bridge,Shore,Shore,Steelhead,1,No,Fly,1,0,10:30 AM,1:35 PM,2:28,12:58 PM,0.8,,,,,No,98226,No,
"Bosley, April",2/2/2021,1,4,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,1,No,Gear,1,0,8:40 AM,1:45 PM,5:05,1:45 PM,1,,,,,Yes,98248,Yes,
"Morrison, Patrick",2/2/2021,2,1,Skagit,Dalles bridge to Marblemount bridge,Shore,Shore,Steelhead,1,No,Fly,1,0,7:45 AM,9:20 AM,1:35,9:20 AM,1,,,,,No,98004,No,
"Zech, Ky",2/2/2021,3,2,Skagit,Dalles bridge to Marblemount bridge,Shore,Shore,Steelhead,1,No,Fly,1,0,11:00 AM,12:15 PM,1:15,12:15 PM,1,,,,,No,98221,No,
"Zech, Ky",2/2/2021,3,3,Skagit,Dalles bridge to Marblemount bridge,Shore,Shore,Steelhead,1,No,Fly,1,0,12:15 PM,1:10 PM,0:55,1:10 PM,1,,,,,Yes,98221,Yes,Same guy as previous row
"Zech, Ky",2/2/2021,3,4,Skagit,Dalles bridge to Marblemount bridge,Drift boat / raft,Boat,Steelhead,3,No,Fly,2,1,8:30 AM,4:20 PM,7:50,4:20 PM,1,BLC,,R,2,Yes,"98101,3",No,Howard Miller
"Miles, Shelby",2/2/2021,4,1,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,1,No,Gear,1,0,7:30 AM,9:55 AM,2:25,9:55 AM,1,,,,,No,98226,Yes,
"Miles, Shelby",2/2/2021,4,2,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,1,No,Fly,1,0,7:20 AM,11:00 AM,3:40,11:00 AM,1,,,,,No,98233,Yes,
"Miles, Shelby",2/2/2021,4,3,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,1,No,Fly,1,0,7:30 AM,12:15 PM,4:45,12:15 PM,1,,,,,No,98082,Yes,
"Miles, Shelby",2/2/2021,4,4,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,1,No,Fly,1,0,1:30 PM,3:17 PM,1:47,3:17 PM,1,,,,,Yes,98275,Yes,
